"student_session_id","alias","class_token","taller_id","paso_id","verbo","result","client_ts","ts"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","0","inicio_taller","{""title"":""Célula: Estructura y Función"",""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7""}","2025-08-19T16:13:39.648+00:00","2025-08-19T16:13:39.648+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","0","inicio_taller","{""title"":""Célula: Estructura y Función"",""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7""}","2025-08-19T16:13:39.649+00:00","2025-08-19T16:13:39.649+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","1","envio_respuesta","{""raw"":null,""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7"",""tipo_paso"":""instruccion""}","2025-08-19T16:13:40.855+00:00","2025-08-19T16:13:40.855+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","1","completo_paso","{""score"":0,""success"":true,""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7"",""tipo_paso"":""instruccion"",""pistasUsadas"":0}","2025-08-19T16:13:40.976+00:00","2025-08-19T16:13:40.976+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","2","envio_respuesta","{""raw"":{""selected"":""b"",""explicacion"":""""},""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7"",""tipo_paso"":""opcion_multiple""}","2025-08-19T16:13:44.341+00:00","2025-08-19T16:13:44.341+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","2","completo_paso","{""score"":1,""success"":true,""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7"",""tipo_paso"":""opcion_multiple"",""pistasUsadas"":0}","2025-08-19T16:13:44.455+00:00","2025-08-19T16:13:44.455+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","0","inicio_taller","{""title"":""Célula: Estructura y Función"",""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7""}","2025-08-19T16:13:53.414+00:00","2025-08-19T16:13:53.414+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","0","inicio_taller","{""title"":""Célula: Estructura y Función"",""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7""}","2025-08-19T16:13:53.416+00:00","2025-08-19T16:13:53.416+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","1","envio_respuesta","{""raw"":null,""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7"",""tipo_paso"":""instruccion""}","2025-08-19T16:13:54.714+00:00","2025-08-19T16:13:54.714+00:00"
"37c5fb2f-d6cb-4039-87d3-ae993b3bf1d9","","DEMO-101","BIO-001","1","completo_paso","{""score"":0,""success"":true,""checksum"":""28f87ce5dec753521284ba897dc00c8de37cae54dd9babfd63cb805171ef80a7"",""tipo_paso"":""instruccion"",""pistasUsadas"":0}","2025-08-19T16:13:54.83+00:00","2025-08-19T16:13:54.83+00:00"
